-10.425 3.22301 1.9338 -0.346217 -0.698765 -0.419259
-10.6387 2.75217 1.6513 -0.29483 -0.713344 -0.428006
-10.818 2.27241 1.36345 -0.242878 -0.725511 -0.435307
-10.9624 1.78535 1.07121 -0.190468 -0.735276 -0.441166
-11.0718 1.29257 0.775542 -0.137705 -0.742647 -0.445588
-11.146 0.795676 0.477406 -0.0846889 -0.747631 -0.448579
-11.1847 0.296254 0.177752 -0.031518 -0.750231 -0.450139
-11.188 -0.204108 -0.122465 0.0217101 -0.750451 -0.45027
-11.1558 -0.703823 -0.422294 0.0748988 -0.748289 -0.448973
-11.0882 -1.2013 -0.720781 0.127951 -0.743745 -0.446247
-10.9852 -1.69496 -1.01697 0.180768 -0.736814 -0.442088
-10.8472 -2.18319 -1.30992 0.23325 -0.72749 -0.436494
-10.6743 -2.66442 -1.59865 0.285294 -0.715766 -0.42946
-10.4669 -3.13702 -1.88221 0.336794 -0.701632 -0.420979
-10.2254 -3.59939 -2.15964 0.387637 -0.685078 -0.411047
-9.95025 -4.04992 -2.42995 0.437709 -0.666092 -0.399655
-9.642 -4.48698 -2.69219 0.486886 -0.644661 -0.386797
-9.30129 -4.90893 -2.94536 0.535039 -0.620774 -0.372464
-8.92887 -5.31413 -3.18848 0.58203 -0.594419 -0.356651
-8.52554 -5.70094 -3.42056 0.627712 -0.565585 -0.339351
-8.09224 -6.06769 -3.64062 0.67193 -0.534265 -0.320559
-7.62999 -6.41274 -3.84764 0.714516 -0.500454 -0.300273
-7.13995 -6.73442 -4.04065 0.755291 -0.464152 -0.278491
-6.62338 -7.03106 -4.21864 0.794064 -0.425365 -0.255219
-6.08168 -7.30102 -4.38061 0.830632 -0.384105 -0.230463
-5.5164 -7.54266 -4.5256 0.864776 -0.340395 -0.204237
-4.92923 -7.75435 -4.65261 0.896265 -0.294269 -0.176561
-4.32202 -7.93449 -4.7607 0.924852 -0.245774 -0.147464
-3.69679 -8.08154 -4.84892 0.950276 -0.194974 -0.116984
-3.05574 -8.19397 -4.91638 0.972264 -0.141953 -0.0851717
-2.40126 -8.27034 -4.9622 0.990528 -0.0868157 -0.0520894
-1.73593 -8.30928 -4.98557 1.00477 -0.0296941 -0.0178164
-1.06252 -8.30953 -4.98572 1.01469 0.029251 0.0175506
-0.384039 -8.26992 -4.96195 1.01996 0.0898253 0.0538952
0.296326 -8.18945 -4.91367 1.02028 0.151798 0.0910786
0.975165 -8.06727 -4.84036 1.01533 0.214897 0.128938
1.64886 -7.90274 -4.74164 1.00481 0.278806 0.167284
2.31362 -7.69543 -4.61726 0.988447 0.343164 0.205898
