8.4001 0.0119049 -0.510476 1.11716e-15 -5.04 8.4 -0.510476 -2.24746e-09
8.4004 0.0238104 -0.510476 6.93889e-17 -5.04 8.4 -0.510476 -4.49459e-09
8.40091 0.0357172 -0.510476 -1.13798e-15 -5.04 8.4 -0.510476 -6.74113e-09
8.40161 0.0476259 -0.510476 -2.69229e-15 -5.04 8.4 -0.510476 -8.98682e-09
8.40252 0.0595372 -0.510476 -2.66454e-15 -5.04 8.4 -0.510476 -1.12313e-08
8.40363 0.0714517 -0.510476 2.44249e-15 -5.04 8.4 -0.510476 -1.34742e-08
8.40494 0.08337 -0.510476 -1.03806e-14 -5.04 8.4 -0.510476 -1.57153e-08
8.40645 0.0952928 -0.510476 1.75415e-14 -5.04 8.4 -0.510476 -1.79545e-08
8.40816 0.107221 -0.510476 6.22835e-14 -5.04 8.4 -0.510476 -2.01913e-08
8.41007 0.119154 -0.510476 8.4599e-14 -5.04 8.4 -0.510476 -2.24256e-08
8.41218 0.131094 -0.510476 3.65263e-14 -5.04 8.4 -0.510476 -2.46568e-08
8.41449 0.143041 -0.510476 4.58522e-14 -5.04 8.4 -0.510476 -2.68848e-08
8.417 0.154996 -0.510476 5.66214e-14 -5.04 8.4 -0.510476 -2.91092e-08
8.4197 0.166958 -0.510476 6.92779e-14 -5.04 8.4 -0.510476 -3.13299e-08
8.4226 0.17893 -0.510476 6.51701e-14 -5.04 8.4 -0.510476 -3.35466e-08
8.4257 0.19091 -0.510476 -8.99281e-15 -5.04 8.4 -0.510476 -3.57589e-08
8.42899 0.202901 -0.510476 7.88258e-15 -5.04 8.4 -0.510476 -3.79667e-08
8.43248 0.214902 -0.510476 -6.43929e-14 -5.04 8.4 -0.510476 -4.01696e-08
8.43617 0.226915 -0.510476 -9.01501e-14 -5.04 8.4 -0.510476 -4.23673e-08
8.44004 0.238938 -0.510476 -1.06137e-13 -5.04 8.4 -0.510476 -4.45596e-08
8.44411 0.250974 -0.510476 -1.58984e-13 -5.04 8.4 -0.510476 -4.67464e-08
8.44837 0.263023 -0.510476 -1.69198e-13 -5.04 8.4 -0.510476 -4.89272e-08
8.45282 0.275085 -0.510476 -5.79536e-14 -5.04 8.4 -0.510476 -5.11017e-08
8.45746 0.287161 -0.510476 1.9984e-14 -5.04 8.4 -0.510476 -5.32698e-08
8.46229 0.299251 -0.510476 3.37508e-14 -5.04 8.4 -0.510476 -5.54313e-08
8.4673 0.311355 -0.510476 7.08322e-14 -5.04 8.4 -0.510476 -5.7586e-08
8.4725 0.323475 -0.510476 1.2701e-13 -5.04 8.4 -0.510476 -5.97337e-08
8.47789 0.33561 -0.510476 1.77858e-13 -5.04 8.4 -0.510476 -6.18739e-08
8.48346 0.347762 -0.510476 2.22045e-13 -5.04 8.4 -0.510476 -6.40066e-08
8.48921 0.35993 -0.510476 2.64899e-13 -5.04 8.4 -0.510476 -6.61314e-08
8.49514 0.372115 -0.510476 3.29292e-13 -5.04 8.4 -0.510476 -6.82483e-08
8.50125 0.384317 -0.510476 4.17888e-13 -5.04 8.4 -0.510476 -7.0357e-08
8.50754 0.396537 -0.510476 4.97824e-13 -5.04 8.4 -0.510476 -7.24573e-08
8.51401 0.408775 -0.510476 5.3868e-13 -5.04 8.4 -0.510476 -7.4549e-08
8.52065 0.421032 -0.510476 5.81979e-13 -5.04 8.4 -0.510476 -7.6632e-08
8.52746 0.433307 -0.510476 6.77902e-13 -5.04 8.4 -0.510476 -7.87058e-08
8.53445 0.445601 -0.510476 6.96998e-13 -5.04 8.4 -0.510476 -8.07706e-08
8.54161 0.457915 -0.510476 6.55254e-13 -5.04 8.4 -0.510476 -8.28261e-08
8.54894 0.470248 -0.510476 5.52891e-13 -5.04 8.4 -0.510476 -8.4872e-08
8.55644 0.482601 -0.510476 5.05818e-13 -5.04 8.4 -0.510476 -8.69084e-08
8.5641 0.494974 -0.510476 4.68958e-13 -5.04 8.4 -0.510476 -8.89349e-08
8.57192 0.507367 -0.510476 4.03677e-13 -5.04 8.4 -0.510476 -9.09515e-08
8.57991 0.519781 -0.510476 3.59712e-13 -5.04 8.4 -0.510476 -9.29579e-08
8.58806 0.532216 -0.510476 4.96048e-13 -5.04 8.4 -0.510476 -9.4954e-08
8.59637 0.544671 -0.510476 4.0945e-13 -5.04 8.4 -0.510476 -9.69398e-08
8.60484 0.557147 -0.510476 5.51115e-13 -5.04 8.4 -0.510476 -9.89151e-08
8.61346 0.569644 -0.510476 5.05818e-13 -5.04 8.4 -0.510476 -1.0088e-07
8.62223 0.582162 -0.510476 3.67262e-13 -5.04 8.4 -0.510476 -1.02834e-07
8.63116 0.594702 -0.510476 2.54463e-13 -5.04 8.4 -0.510476 -1.04776e-07
8.64024 0.607262 -0.510476 1.35447e-13 -5.04 8.4 -0.510476 -1.06708e-07
8.64946 0.619843 -0.510476 7.63833e-14 -5.04 8.4 -0.510476 -1.08629e-07
8.65884 0.632446 -0.510476 -2.13163e-14 -5.04 8.4 -0.510476 -1.10539e-07
8.66835 0.645069 -0.510476 -5.41789e-14 -5.04 8.4 -0.510476 -1.12438e-07
8.67801 0.657714 -0.510476 -9.72555e-14 -5.04 8.4 -0.510476 -1.14325e-07
8.68781 0.670379 -0.510476 -3.06422e-14 -5.04 8.4 -0.510476 -1.162e-07
8.69775 0.683065 -0.510476 4.39648e-14 -5.04 8.4 -0.510476 -1.18065e-07
8.70782 0.695771 -0.510476 -2.93099e-14 -5.04 8.4 -0.510476 -1.19917e-07
